,dataset,doc,sum,model_name,label,prompt,gen,res,true or false
0,XSumFaith,"Sheikh Ali Salman told the BBC that for national dialogue to be meaningful, the government had to show its willingness to offer ""concrete solutions"".
""We want someone who can speak for the royal family,"" he said.
Crown Prince Salman al-Khalifa is seen as a reformist in a court divided on how to respond to opposition demands.
Hardliners - centred around the unelected Prime Minister Sheikh Khalifa bin Salman al-Khalifa, who has been in his post since 1971 - are said to be opposed to a dialogue process which has only just been agreed between the government and six opposition societies.
They fear that any concessions will only serve to encourage more demands from opposition leaders they deeply distrust.
However, speaking to the BBC during a visit to London, Sheikh Salman insisted that now was the time for dialogue.
""We welcome it, we are ready for it,"" he said. ""We believe that dialogue and negotiations are necessary.""
The al-Wefaq leader acknowledged that many young protesters had lost faith in the main opposition parties.
""A lot of young people do not believe that we should ask for permission to go on a demonstration, or that we should call for a constitutional monarchy with this family, which until now is still killing people"".
But he believed that the only way forward was to work with reformists within the Sunni Muslim royal family, including the US- and UK-educated Crown Prince Salman, who has has long been considered a proponent of accommodation with the country's Shia majority.
Sheikh Salman noted that hours before King Hamad brought in Gulf Co-operation Council (GCC) troops to restore order and crush dissent on 14 March 2011, the crown prince and opposition had agreed a seven-point plan that would have moved Bahrain towards a constitutional monarchy.
""We had an agreement with the crown prince,"" he said. ""The seven principles were announced and then 12 hours later, GCC troops came in and severed the dialogue.""
Asked about the appointment of Senator John Kerry as US secretary of state, Sheikh Salman said he was ""hopeful"" that he would ""do more than his predecessor"", Hillary Clinton.
""US policy needs to be more clear and direct. The United States government needs to pressure harder for human rights and democratic practices.  We are told that Mr Kerry has more interest in Bahrain and so we hope he will achieve more.""
On the UK's approach to the crisis in Bahrain, the al-Wefaq leader was more blunt.
""If the UK government and [Prime Minister David] Cameron are serious about putting an end to violence and human rights abuses, then they have to speak out publically.
""It is not enough to say: 'We are privately urging reform.' That has been done for years. Unfortunately, the Bahrain government is not listening to these private conversations.
""So, the question I would ask the British government is: 'Shall you continue to say it privately and not put public pressure?' This is not, I think, a good policy.""
Sheikh Salman also reiterated al-Wefaq's position that it would continue to call for ""peaceful demonstrations"", even though all public gatherings and rallies are currently banned in Bahrain.
""It is the only way open to us to put pressure on the government.""
He also called for the release of 13 opposition leaders and human rights activists who have been sentenced to between five years and life in prison on evidence widely accepted as having been obtained under torture. They were convicted of plotting to overthrow the government.
""These people have a lot of followers in the street.  If they are not part of the dialogue than the dialogue will fail.""",the leader of bahrain\'s main opposition party has said there needs to be dialogue between the kingdom\'s crown prince and government.,BERTS2S,1,"Document: Sheikh Ali Salman told the BBC that for national dialogue to be meaningful, the government had to show its willingness to offer ""concrete solutions"". ""We want someone who can speak for the royal family,"" he said. Crown Prince Salman al-Khalifa is seen as a reformist in a court divided on how to respond to opposition demands. Hardliners - centred around the unelected Prime Minister Sheikh Khalifa bin Salman al-Khalifa, who has been in his post since 1971 - are said to be opposed to a dialogue process which has only just been agreed between the government and six opposition societies. They fear that any concessions will only serve to encourage more demands from opposition leaders they deeply distrust. However, speaking to the BBC during a visit to London, Sheikh Salman insisted that now was the time for dialogue. ""We welcome it, we are ready for it,"" he said. ""We believe that dialogue and negotiations are necessary."" The al-Wefaq leader acknowledged that many young protesters had lost faith in the main opposition parties. ""A lot of young people do not believe that we should ask for permission to go on a demonstration, or that we should call for a constitutional monarchy with this family, which until now is still killing people"". But he believed that the only way forward was to work with reformists within the Sunni Muslim royal family, including the US- and UK-educated Crown Prince Salman, who has has long been considered a proponent of accommodation with the country's Shia majority. Sheikh Salman noted that hours before King Hamad brought in Gulf Co-operation Council (GCC) troops to restore order and crush dissent on 14 March 2011, the crown prince and opposition had agreed a seven-point plan that would have moved Bahrain towards a constitutional monarchy. ""We had an agreement with the crown prince,"" he said. ""The seven principles were announced and then 12 hours later, GCC troops came in and severed the dialogue."" Asked about the appointment of Senator John Kerry as US secretary of state, Sheikh Salman said he was ""hopeful"" that he would ""do more than his predecessor"", Hillary Clinton. ""US policy needs to be more clear and direct. The United States government needs to pressure harder for human rights and democratic practices. We are told that Mr Kerry has more interest in Bahrain and so we hope he will achieve more."" On the UK's approach to the crisis in Bahrain, the al-Wefaq leader was more blunt. ""If the UK government and [Prime Minister David] Cameron are serious about putting an end to violence and human rights abuses, then they have to speak out publically. ""It is not enough to say: 'We are privately urging reform.' That has been done for years. Unfortunately, the Bahrain government is not listening to these private conversations. ""So, the question I would ask the British government is: 'Shall you continue to say it privately and not put public pressure?' This is not, I think, a good policy."" Sheikh Salman also reiterated al-Wefaq's position that it would continue to call for ""peaceful demonstrations"", even

Q: Can the following statement be inferred from the above document? Yes or No?
the leader of bahrain\'s main opposition party has said there needs to be dialogue between the kingdom\'s crown prince and government.

A:",<pad> No</s>,0,0
1,XSumFaith,"In the year to the end of March, 57 victims of homicide (murders and culpable homicides) were recorded - down five on the previous 12 months.
This is the lowest number of recorded homicide cases for a single 12-month period since 1976 and half the figure of nine years ago.
As of 31 March 2016, only one case of homicide recorded in 2015-16 was unresolved.
The report Homicide in Scotland showed that a sharp instrument remained the most common method of killing in Scotland and accounted for 51% of homicides (29 cases) in 2015-16.
Nearly all of these cases (26 out of 29) involved a knife.
While the majority of the accused had an unknown status for alcohol and drugs, 31% (20 people) were identified by the police as being under the influence of alcohol or alcohol and drugs.
Justice Secretary Michael Matheson said: ""While it is encouraging to see continued falls in homicide cases alongside the long-term decline in violent crime, the sustained efforts that have helped achieve this - through education and enforcement - must continue, because each of the lives lost is one life too many.
""There is a clear role across a range of public services, in addition to the critical work of our police, to continue to support communities that may remain at risk from violent crime and to challenge irresponsible attitudes both to alcohol misuse and to so-called 'casual' violence.
""We will continue to work with partners and invest in a range of projects to help steer our young people away from the risks of a life of violence and crime, while also ensuring our law enforcement agencies and the courts have the powers and resources needed to deal with those who do harm to others.""
Scottish Labour's justice spokeswoman Claire Baker said: ""Whilst I welcome the overall downward trend in homicides in Scotland we have to take these statistics with a note of caution.
""Last year when the Scottish government were heralding 'record low' homicide figures after a supposed similar drop, the actual figures were being revised upwards to show an increase.
""Meanwhile, sexual crime in Scotland sits at a 45-year high and in the past year we have seen an increase in violent crime with attempted murder and serious assault rising by a staggering 27%.""
The number of homicide victims for 2014-15 stood at 59 last year but later increased to 62, after three cases were reclassified following deaths.",the number of homicides recorded by police in scotland has fallen to its lowest level since 2009.,BERTS2S,0,"Document: In the year to the end of March, 57 victims of homicide (murders and culpable homicides) were recorded - down five on the previous 12 months. This is the lowest number of recorded homicide cases for a single 12-month period since 1976 and half the figure of nine years ago. As of 31 March 2016, only one case of homicide recorded in 2015-16 was unresolved. The report Homicide in Scotland showed that a sharp instrument remained the most common method of killing in Scotland and accounted for 51% of homicides (29 cases) in 2015-16. Nearly all of these cases (26 out of 29) involved a knife. While the majority of the accused had an unknown status for alcohol and drugs, 31% (20 people) were identified by the police as being under the influence of alcohol or alcohol and drugs. Justice Secretary Michael Matheson said: ""While it is encouraging to see continued falls in homicide cases alongside the long-term decline in violent crime, the sustained efforts that have helped achieve this - through education and enforcement - must continue, because each of the lives lost is one life too many. ""There is a clear role across a range of public services, in addition to the critical work of our police, to continue to support communities that may remain at risk from violent crime and to challenge irresponsible attitudes both to alcohol misuse and to so-called 'casual' violence. ""We will continue to work with partners and invest in a range of projects to help steer our young people away from the risks of a life of violence and crime, while also ensuring our law enforcement agencies and the courts have the powers and resources needed to deal with those who do harm to others."" Scottish Labour's justice spokeswoman Claire Baker said: ""Whilst I welcome the overall downward trend in homicides in Scotland we have to take these statistics with a note of caution. ""Last year when the Scottish government were heralding 'record low' homicide figures after a supposed similar drop, the actual figures were being revised upwards to show an increase. ""Meanwhile, sexual crime in Scotland sits at a 45-year high and in the past year we have seen an increase in violent crime with attempted murder and serious assault rising by a staggering 27%."" The number of homicide victims for 2014-15 stood at 59 last year but later increased to 62, after three cases were reclassified following deaths.

Q: Can the following statement be inferred from the above document? Yes or No?
the number of homicides recorded by police in scotland has fallen to its lowest level since 2009.

A:",<pad> No</s>,0,1
2,XSumFaith,"Mr Abbott told Australian media that the only way to prevent people dying at sea was to ""stop the boats"".
Australia detains any migrants trying to reach its shores by boat, and takes them to offshore processing camps to be eventually resettled elsewhere.
On Thursday, the New York Times described the policy as ""brutal"".
In an editorial, the newspaper said the ""ruthlessly effective"" policy was ""inhumane, of dubious legality and strikingly at odds with the country's tradition of welcoming people fleeing persecution and war"".
It said it would be ""unconscionable"" for European leaders to consider adopting similar policies, as Mr Abbott has previously suggested.
Australia has not responded to the editorial, but on Friday Mr Abbott said the image of Syrian three-year-old Alan Kurdi, who died trying to reach Greece by boat with his family, was ""very sad"".
""If you want to stop the deaths, if you want to stop the drownings you have got to stop the boats,"" he told ABC Radio.
""Thankfully, we have stopped that in Australia because we have stopped the illegal boats.""
On Thursday, Mr Abbott angered Australian Jewish groups by saying the so-called Islamic State (IS), from which many of the migrants to Europe are fleeing, was worse than the Nazis.
""The Nazis did terrible evil, but they had a sufficient sense of shame to try to hide it,"" he told Sydney Radio 2GB.
But IS militants, he said, ""boast about their evil, this is the extraordinary thing"".
The Executive Council of Australian Jewry Robert Goot said the comment was ""injudicious and unfortunate"", saying there was ""a fundamental difference between organised acts of terrorism and a genocide systematically implemented by a state as essential policy"".
""The crimes of Islamic State are indeed horrific but cannot be compared to the systematic round-up of millions of people and their despatch to purpose-built death camps for mass murder,"" he told Australian media.
Mr Abbott later said he stood by his comments, but that he was not in the ""business of ranking evil"".","australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",BERTS2S,0,"Document: Mr Abbott told Australian media that the only way to prevent people dying at sea was to ""stop the boats"". Australia detains any migrants trying to reach its shores by boat, and takes them to offshore processing camps to be eventually resettled elsewhere. On Thursday, the New York Times described the policy as ""brutal"". In an editorial, the newspaper said the ""ruthlessly effective"" policy was ""inhumane, of dubious legality and strikingly at odds with the country's tradition of welcoming people fleeing persecution and war"". It said it would be ""unconscionable"" for European leaders to consider adopting similar policies, as Mr Abbott has previously suggested. Australia has not responded to the editorial, but on Friday Mr Abbott said the image of Syrian three-year-old Alan Kurdi, who died trying to reach Greece by boat with his family, was ""very sad"". ""If you want to stop the deaths, if you want to stop the drownings you have got to stop the boats,"" he told ABC Radio. ""Thankfully, we have stopped that in Australia because we have stopped the illegal boats."" On Thursday, Mr Abbott angered Australian Jewish groups by saying the so-called Islamic State (IS), from which many of the migrants to Europe are fleeing, was worse than the Nazis. ""The Nazis did terrible evil, but they had a sufficient sense of shame to try to hide it,"" he told Sydney Radio 2GB. But IS militants, he said, ""boast about their evil, this is the extraordinary thing"". The Executive Council of Australian Jewry Robert Goot said the comment was ""injudicious and unfortunate"", saying there was ""a fundamental difference between organised acts of terrorism and a genocide systematically implemented by a state as essential policy"". ""The crimes of Islamic State are indeed horrific but cannot be compared to the systematic round-up of millions of people and their despatch to purpose-built death camps for mass murder,"" he told Australian media. Mr Abbott later said he stood by his comments, but that he was not in the ""business of ranking evil"".

Q: Can the following statement be inferred from the above document? Yes or No?
australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.

A:",<pad> No</s>,0,1
3,XSumFaith,"Downing Street backed a report by think tank Policy Exchange which said selling high value homes when they become vacant would raise £4.5bn a year.
That would be enough to build 80,000 to 170,000 social homes, the report said.
Labour said new homes were urgently needed but ""driving out hard-working families on low wages from whole neighbourhoods"" was not the answer.
In its Ending Expensive Social Tenancies report, Policy Exchange argues the move could create the largest social house building programme since the 1970s - giving the economy a kickstart.
Neil O'Brien, the think tank's director, told the BBC that social housing would still exist in very expensive areas under its proposal, but there would just be ""less of it"".
""The truth is I don't believe anybody has the right to live in the most expensive parts of town.
""People do have a right to get housed, just not in the very most expensive areas,"" he said.
He also suggested that the overall number of people waiting for social housing, currently around 1.8 million, could be reduced by about 500,000 if the scheme was implemented.
The prime minister's official spokesman said: ""This is something that councils can choose to do already.
""Councils should be looking for ways to use their social housing stock as efficiently as they can. The waiting list for social housing has increased a lot over passing years.
""They need to think about how they can use that social housing stock efficiently.
""If they can sell high-value housing to invest in more social housing and find more homes for more people, then that is certainly something they should look at.""
But Labour said the coalition's ""failed"" polices were ""making the housing crisis worse not better"".
Shadow housing minister Jack Dromey said: ""Councils and housing associations should make effective use of their housing stock but the government should not force them to arbitrarily sell off social homes, breaking up mixed communities and driving out hard-working families on low wages from whole neighbourhoods.""
He said the government should use a bank bonus tax to fund 250,000 affordable homes and ""put unemployed builders back to work"" and boost the construction industry.
'Lucky family'
Expensive social housing - which Policy Exchange defines as housing worth more than the average property in each region - accounts for 21.8% of the total social housing stock in the UK, it says.
This equates to 816,000 properties - out of a total of 3.78 million - which the think tank says could raise up to £159bn if sold.
It says London alone has more than £70bn of expensive social housing.
About 3.5% of the total stock becomes vacant every year owing to people moving out or dying, the think tank said.
This meant the government could sell a total of 28,500 properties each year, raising £5.5bn a year. The figure would stand at £4.5bn after paying off the debt held against the stock, the report said.
Mr O'Brien argued that many hard-working people might want to live in a nicer area or in a bigger house but could not afford to.
""Rather than having one lucky family with a very expensive house, you would have two families perhaps desperately waiting for social housing, now having a roof over their heads.
""That seems fairer to me,"" he added.
The think tank also said the move would be ""extremely popular"" with all sections of society, claiming that 73% of people, including social tenants, think people should not be given council houses worth more than the average property in a local authority.
'Dramatic erosion'
Critics say such a move would push the least well-off out of expensive streets, and into new ghettos.
The National Housing Federation, which represents housing associations, says many towns would be ""cleansed"" of ""hardworking people who can't afford to pay high prices"".
Labour MP Karen Buck, who represents Westminster North, is concerned that lower income families, particularly in London, will be forced out of more affluent areas creating segregated communities of rich and poor.
Ms Buck also argued that the Labour government's £8bn social and affordable housing building programme was cut by 60% when the coalition came to power.
Housing Minister Grant Shapps - who is in favour of a sell-off - said the government had introduced ""radical reforms"" to ""get Britain building"" and to reduce social housing waiting lists.
They included investing £19.5bn public and private funding into an affordable housing programme ""set to exceed expectations and deliver up to 170,000 homes"".
Councils could now offer fixed-term tenancies to new tenants to make sure ""social housing goes to those in greatest need"", he added.","the government should sell off some of the most expensive social housing stock in the uk, the government has said.",BERTS2S,0,"Document: Downing Street backed a report by think tank Policy Exchange which said selling high value homes when they become vacant would raise £4.5bn a year. That would be enough to build 80,000 to 170,000 social homes, the report said. Labour said new homes were urgently needed but ""driving out hard-working families on low wages from whole neighbourhoods"" was not the answer. In its Ending Expensive Social Tenancies report, Policy Exchange argues the move could create the largest social house building programme since the 1970s - giving the economy a kickstart. Neil O'Brien, the think tank's director, told the BBC that social housing would still exist in very expensive areas under its proposal, but there would just be ""less of it"". ""The truth is I don't believe anybody has the right to live in the most expensive parts of town. ""People do have a right to get housed, just not in the very most expensive areas,"" he said. He also suggested that the overall number of people waiting for social housing, currently around 1.8 million, could be reduced by about 500,000 if the scheme was implemented. The prime minister's official spokesman said: ""This is something that councils can choose to do already. ""Councils should be looking for ways to use their social housing stock as efficiently as they can. The waiting list for social housing has increased a lot over passing years. ""They need to think about how they can use that social housing stock efficiently. ""If they can sell high-value housing to invest in more social housing and find more homes for more people, then that is certainly something they should look at."" But Labour said the coalition's ""failed"" polices were ""making the housing crisis worse not better"". Shadow housing minister Jack Dromey said: ""Councils and housing associations should make effective use of their housing stock but the government should not force them to arbitrarily sell off social homes, breaking up mixed communities and driving out hard-working families on low wages from whole neighbourhoods."" He said the government should use a bank bonus tax to fund 250,000 affordable homes and ""put unemployed builders back to work"" and boost the construction industry. 'Lucky family' Expensive social housing - which Policy Exchange defines as housing worth more than the average property in each region - accounts for 21.8% of the total social housing stock in the UK, it says. This equates to 816,000 properties - out of a total of 3.78 million - which the think tank says could raise up to £159bn if sold. It says London alone has more than £70bn of expensive social housing. About 3.5% of the total stock becomes vacant every year owing to people moving out or dying, the think tank said. This meant the government could sell a total of 28,500 properties each year, raising £5.5bn a year. The figure would stand at £4.5bn after paying off the debt held against the stock, the report said. Mr O'Brien argued that many hard-working people might want to live in a nicer area or in a bigger house but

Q: Can the following statement be inferred from the above document? Yes or No?
the government should sell off some of the most expensive social housing stock in the uk, the government has said.

A:",<pad> No</s>,0,1
4,XSumFaith,"Vincent Hudson has been charged with the historical offence on a boy under the age of 16, Cumbria Police said.
A spokesman for the force said the attack was reported to have taken place in 2001.
Mr Hudson, 54, of Loweswater Avenue, Whitehaven, is due to appear before North Cumbria Magistrates' Court later, the spokesman added.",a man has been charged with the rape of a teenage boy in cumbria.,BERTS2S,0,"Document: Vincent Hudson has been charged with the historical offence on a boy under the age of 16, Cumbria Police said. A spokesman for the force said the attack was reported to have taken place in 2001. Mr Hudson, 54, of Loweswater Avenue, Whitehaven, is due to appear before North Cumbria Magistrates' Court later, the spokesman added.

Q: Can the following statement be inferred from the above document? Yes or No?
a man has been charged with the rape of a teenage boy in cumbria.

A:",<pad> Yes</s>,1,0
5,XSumFaith,"Bristol Sport Ltd, which owns the football club, wants to replace two stands to increase capacity.
The plan is an alternative to proposals to build a new stadium at nearby Ashton Vale, which has been delayed by an application for a town green.
Majority shareholder Steve Lansdown confirmed the club would begin work at a shareholder meeting on Tuesday.
The work was approved by Bristol City Council in November.
Mr Lansdown told the club's official website: ""We'll sign the section 106 agreement any day now, and then we have six weeks to wait for the judicial review period.
""We wanted to give some certainty to supporters, so if we get through to March with no judicial review, then we will be going ahead with the redevelopment plans, starting in May.""",plans for a new stadium for bristol city have been given the go-ahead by the city council.,BERTS2S,0,"Document: Bristol Sport Ltd, which owns the football club, wants to replace two stands to increase capacity. The plan is an alternative to proposals to build a new stadium at nearby Ashton Vale, which has been delayed by an application for a town green. Majority shareholder Steve Lansdown confirmed the club would begin work at a shareholder meeting on Tuesday. The work was approved by Bristol City Council in November. Mr Lansdown told the club's official website: ""We'll sign the section 106 agreement any day now, and then we have six weeks to wait for the judicial review period. ""We wanted to give some certainty to supporters, so if we get through to March with no judicial review, then we will be going ahead with the redevelopment plans, starting in May.""

Q: Can the following statement be inferred from the above document? Yes or No?
plans for a new stadium for bristol city have been given the go-ahead by the city council.

A:",<pad> No</s>,0,1
6,XSumFaith,"Angus Carpenter, of Liverpool, who has played in the city centre for more than 30 years, denied three counts of fraud.
The 62-year-old was found guilty of one count when he played with a Hillsborough Justice Campaign banner draped on his bagpipes in April 2015.
He was cleared of the two other counts by a jury at Liverpool Crown Court.
Sgt Chris Gaynor told the court during the two day trial that Carpenter, from Woolton, gave the impression he was collecting cash for the Hillsborough Justice Campaign.
In his defence, Carpenter - who usually wears a kilt and piper's regalia when he performs - said he had piped for the charity in the past but on this occasion he was simply busking.
Kenneth Derbyshire, chairman of the Hillsborough Justice Campaign, said he had given Carpenter permission to design and display a banner featuring the eternal flame and the word justice.
But he said he had made it clear he was not use it to collect funds for the charity.
Carpenter told the court the banner was a tribute to the victims, not an attempt to deceive anyone.
He also told the court he was a familiar face on match days at Anfield and known as a busker to the Hillsborough Justice Campaign.
He will be sentenced in January.",a football busker has been found guilty of defrauding the victims of the hillsborough disaster.,BERTS2S,0,"Document: Angus Carpenter, of Liverpool, who has played in the city centre for more than 30 years, denied three counts of fraud. The 62-year-old was found guilty of one count when he played with a Hillsborough Justice Campaign banner draped on his bagpipes in April 2015. He was cleared of the two other counts by a jury at Liverpool Crown Court. Sgt Chris Gaynor told the court during the two day trial that Carpenter, from Woolton, gave the impression he was collecting cash for the Hillsborough Justice Campaign. In his defence, Carpenter - who usually wears a kilt and piper's regalia when he performs - said he had piped for the charity in the past but on this occasion he was simply busking. Kenneth Derbyshire, chairman of the Hillsborough Justice Campaign, said he had given Carpenter permission to design and display a banner featuring the eternal flame and the word justice. But he said he had made it clear he was not use it to collect funds for the charity. Carpenter told the court the banner was a tribute to the victims, not an attempt to deceive anyone. He also told the court he was a familiar face on match days at Anfield and known as a busker to the Hillsborough Justice Campaign. He will be sentenced in January.

Q: Can the following statement be inferred from the above document? Yes or No?
a football busker has been found guilty of defrauding the victims of the hillsborough disaster.

A:",<pad> No</s>,0,1
7,XSumFaith,"Wells, 23, impressed in the T20 Blast last season, scoring 373 runs at 28.69 - with a strike rate of 138.66.
Wells said: ""It's clear that the club is going in the right direction and it's really exciting.
""The environment created by the coaches is of elite performance and it's making the lads want to be a part of it.""",worcestershire all-rounder wells wells has signed a new two-year contract with the club.,BERTS2S,0,"Document: Wells, 23, impressed in the T20 Blast last season, scoring 373 runs at 28.69 - with a strike rate of 138.66. Wells said: ""It's clear that the club is going in the right direction and it's really exciting. ""The environment created by the coaches is of elite performance and it's making the lads want to be a part of it.""

Q: Can the following statement be inferred from the above document? Yes or No?
worcestershire all-rounder wells wells has signed a new two-year contract with the club.

A:",<pad> No</s>,0,1
8,XSumFaith,"The police allege 28-year-old Nazrul, also called Nazu, was the man who raped the 74-year-old nun.
The man, allegedly a Bangladeshi citizen, was arrested at a railway station in Kolkata (Calcutta).
The incident caused outrage in India and led to street protests in many cities across the country.
This marks the sixth arrest in the crime.
Police have identified eight suspects in the attack, of which two still remain untraced.
""All the five accused arrested earlier have named Nazrul as the person who raped the nun,"" a police officer told the BBC.
Dilip Kumar Adak, deputy inspector general of the state's Criminal Investigation Department, told the AFP news agency that police acted on a tip off that Nazu, who had fled to Bangladesh after being identified from CCTV footage of the attack, was due to return to Kolkata by train.
In May, the police said they had arrested Milon Sarkar and described him as the leader of the gang which attacked the convent. They said it was not clear what role the man had played in the case.
During the attack in Ranaghat town on 14 March, money was stolen from the convent school and the building ransacked, before the nun was raped in the convent itself.",indian police have arrested a man in connection with the rape of a nun in the eastern city of kolkata ( calcutta ) in march.,BERTS2S,0,"Document: The police allege 28-year-old Nazrul, also called Nazu, was the man who raped the 74-year-old nun. The man, allegedly a Bangladeshi citizen, was arrested at a railway station in Kolkata (Calcutta). The incident caused outrage in India and led to street protests in many cities across the country. This marks the sixth arrest in the crime. Police have identified eight suspects in the attack, of which two still remain untraced. ""All the five accused arrested earlier have named Nazrul as the person who raped the nun,"" a police officer told the BBC. Dilip Kumar Adak, deputy inspector general of the state's Criminal Investigation Department, told the AFP news agency that police acted on a tip off that Nazu, who had fled to Bangladesh after being identified from CCTV footage of the attack, was due to return to Kolkata by train. In May, the police said they had arrested Milon Sarkar and described him as the leader of the gang which attacked the convent. They said it was not clear what role the man had played in the case. During the attack in Ranaghat town on 14 March, money was stolen from the convent school and the building ransacked, before the nun was raped in the convent itself.

Q: Can the following statement be inferred from the above document? Yes or No?
indian police have arrested a man in connection with the rape of a nun in the eastern city of kolkata ( calcutta ) in march.

A:",<pad> Yes</s>,1,0
9,XSumFaith,"The first incident saw a 71-year-old woman from Sandyhills tricked by someone claiming to work for BT.
Now a woman in Stranraer has lost money to a caller who said he was contacting her about problems with her internet.
He claimed to be from BT technical support and gained remote access to her computer to take the cash.
The Sandyhills incident happened on 15 September with the Stranraer con taking place seven days later.
PC Siobhan Pellett said: ""The ease with which these people seem to be able to gain access to their victim's computer is frightening and the sums of money being taken are substantial.
""We are asking people to be very, very careful when answering a cold call from someone who tries to gain remote access to their computer in order to rectify an alleged fault.
""Our message is worth repeating once again that people should never, never give out any banking details or account numbers over the telephone.
""Banks, building societies and reputable businesses never ask for this information.""",two people in south west scotland have been targeted by telephone scams.,BERTS2S,0,"Document: The first incident saw a 71-year-old woman from Sandyhills tricked by someone claiming to work for BT. Now a woman in Stranraer has lost money to a caller who said he was contacting her about problems with her internet. He claimed to be from BT technical support and gained remote access to her computer to take the cash. The Sandyhills incident happened on 15 September with the Stranraer con taking place seven days later. PC Siobhan Pellett said: ""The ease with which these people seem to be able to gain access to their victim's computer is frightening and the sums of money being taken are substantial. ""We are asking people to be very, very careful when answering a cold call from someone who tries to gain remote access to their computer in order to rectify an alleged fault. ""Our message is worth repeating once again that people should never, never give out any banking details or account numbers over the telephone. ""Banks, building societies and reputable businesses never ask for this information.""

Q: Can the following statement be inferred from the above document? Yes or No?
two people in south west scotland have been targeted by telephone scams.

A:",<pad> Yes</s>,1,0
